2.02E+13,wrongtime,x,y,team,time
Rishard Matthews,2035.573,39.38,24.02,away,1
Brandon Bolden,2035.573,94.48,21.65,home,1
Logan Ryan,2035.573,90.12,7.14,away,1
Daren Bates,2035.573,91.22,21.18,away,1
Brynden Trawick,2035.573,90.81,25.82,away,1
Walt Aikens,2035.573,92.61,6.57,home,1
David Fluellen,2035.573,89.92,28.42,away,1
Senorise Perry,2035.573,95.35,25.68,home,1
Stephone Anthony,2035.573,93.06,21.94,home,1
A.J. Derby,2035.573,92.93,24.71,home,1
LeShaun Sims,2035.573,89.45,25.59,away,1
Aaron Wallace,2035.573,90.8,22.95,away,1
Tanner McEvoy,2035.573,97.76,22.4,home,1
Kenneth Durden,2035.573,90.4,44.43,away,1
Jonnu Smith,2035.573,89.78,24.57,away,1
Jayon Brown,2035.573,91.02,19.67,away,1
Chase Allen,2035.573,92.98,22.78,home,1
Matt Haack,2035.573,105.44,23.89,home,1
Torry McTyer,2035.573,92.8,45.28,home,1
Jerome Baker,2035.573,93.04,25.57,home,1
Durham Smythe,2035.573,92.39,23.92,home,1
Dane Cruikshank,2035.573,89.53,21.89,away,1
football,2035.573,91.73,23.81,football,1
Rishard Matthews,2035.574,39.38,24.02,away,2
Brandon Bolden,2035.574,94.48,21.65,home,2
Logan Ryan,2035.574,90.12,7.14,away,2
Daren Bates,2035.574,91.23,21.18,away,2
Brynden Trawick,2035.574,90.81,25.81,away,2
Walt Aikens,2035.574,92.61,6.57,home,2
David Fluellen,2035.574,89.92,28.42,away,2
Senorise Perry,2035.574,95.35,25.68,home,2
Stephone Anthony,2035.574,93.07,21.94,home,2
A.J. Derby,2035.574,92.93,24.71,home,2
LeShaun Sims,2035.574,89.47,25.6,away,2
Aaron Wallace,2035.574,90.8,22.95,away,2
Tanner McEvoy,2035.574,97.76,22.4,home,2
Kenneth Durden,2035.574,90.4,44.42,away,2
Jonnu Smith,2035.574,89.79,24.56,away,2
Jayon Brown,2035.574,91.05,19.69,away,2
Chase Allen,2035.574,92.98,22.78,home,2
Matt Haack,2035.574,105.44,23.89,home,2
Torry McTyer,2035.574,92.8,45.28,home,2
Jerome Baker,2035.574,93.06,25.57,home,2
Durham Smythe,2035.574,92.39,23.93,home,2
Dane Cruikshank,2035.574,89.53,21.89,away,2
football,2035.574,91.73,23.82,football,2
Rishard Matthews,2035.575,39.38,24.02,away,3
Brandon Bolden,2035.575,94.48,21.64,home,3
Logan Ryan,2035.575,90.12,7.14,away,3
